fold,model,accuracy,precision,recall,f1,roc_auc,balanced_acc
1,RMS-HL,0.8593333333333333,0.6618705035971223,0.359375,0.46582278481012657,0.8334097417604501,0.6607968247588425
1,RMS-HL+SMOTE,0.798,0.44226044226044225,0.703125,0.5429864253393665,0.8406947096061093,0.7603245578778135
1,SVM,0.8446666666666667,0.5672514619883041,0.37890625,0.45433255269320844,0.8110853974075563,0.6597103597266881
1,SVM+SMOTE,0.8433333333333334,0.562874251497006,0.3671875,0.4444444444444444,0.794198088323955,0.6542529139871383
1,Nu-SVM,0.8553333333333333,0.6466165413533834,0.3359375,0.442159383033419,0.8462526376607716,0.6490780747588425
1,Nu-SVM+SMOTE,0.8413333333333334,0.5428571428571428,0.4453125,0.4892703862660944,0.8224320488344051,0.6840710409967845
1,Ramp-SVM,0.858,0.6936936936936937,0.30078125,0.4196185286103542,0.8493675894292604,0.6367250301446945
1,Ramp-SVM+SMOTE,0.8373333333333334,0.5260869565217391,0.47265625,0.49794238683127573,0.8276979501607717,0.6925178356109325
2,RMS-HL,0.8573333333333333,0.6521739130434783,0.3515625,0.45685279187817257,0.8309337947146302,0.6564886454983923
2,RMS-HL+SMOTE,0.7726666666666666,0.408207343412527,0.73828125,0.5257301808066759,0.8212560917403536,0.759012007636656
2,SVM,0.862,0.6449704142011834,0.42578125,0.5129411764705882,0.8093881883038586,0.6887748693729904
2,SVM+SMOTE,0.8553333333333333,0.6114285714285714,0.41796875,0.4965197215777262,0.8154249773914791,0.681653185289389
2,Nu-SVM,0.86,0.6825396825396826,0.3359375,0.450261780104712,0.8223331365554662,0.6518915795819935
2,Nu-SVM+SMOTE,0.8506666666666667,0.5683760683760684,0.51953125,0.5428571428571428,0.8326215836012862,0.7191707696945338
2,Ramp-SVM,0.86,0.7017543859649122,0.3125,0.43243243243243246,0.8227256455988748,0.6425844051446945
2,Ramp-SVM+SMOTE,0.8506666666666667,0.564,0.55078125,0.5573122529644269,0.8364053707797428,0.7315803356109325
